dataset_id	sample_id	K	baseline_method_id	delta_spatial_coherence	delta_marker_coherence	bayesspace_note	baseline_note
GSE267401	GSM8265211_CTC21P	6	M1_spatial_concat_kmeans	0.14380042453174002	0.66752954024881	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	6	M2_spatial_ward	-0.10207657546825999	0.60675054024881	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication-m2
GSE267401	GSM8265211_CTC21P	6	M3_spatial_leiden	-0.13356257546826	0.73887354024881	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	6	M4_spagcn	0.07741842453173997	0.67775554024881	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication-m4
GSE267401	GSM8265211_CTC21P	6	M5_stagate	-0.026454575468260022	0.6051845402488099	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication-m5
GSE267401	GSM8265212_CTC21M	4	M0_expr_kmeans	0.2654598354090141	0.5334313713246801	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	4	M1_spatial_concat_kmeans	0.264557835409014	0.53138237132468	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	4	M2_spatial_ward	-0.02414716459098598	0.62927937132468	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication-m2
GSE267401	GSM8265212_CTC21M	4	M3_spatial_leiden	-0.056760164590985984	0.91735937132468	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	4	M4_spagcn	0.213794835409014	0.63305937132468	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication-m4
GSE267401	GSM8265212_CTC21M	4	M5_stagate	0.09793483540901404	0.5349793713246801	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication-m5
GSE267401	GSM8265212_CTC21M	6	M0_expr_kmeans	0.2366369831556311	0.53604045979101	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	6	M1_spatial_concat_kmeans	0.235992983155631	0.5360444597910101	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	6	M2_spatial_ward	-0.02782401684436897	0.6630984597910101	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication-m2
GSE267401	GSM8265212_CTC21M	6	M3_spatial_leiden	-0.07052101684436896	0.8519904597910101	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication
GSE267401	GSM8265212_CTC21M	6	M4_spagcn	0.15152298315563106	0.6313304597910101	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication-m4
GSE267401	GSM8265212_CTC21M	6	M5_stagate	0.09543798315563101	0.67775845979101	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M	stage3b-full-replication-m5
GSE267401	GSM8265213_CTC17P	4	M0_expr_kmeans	0.2657885198661649	0.44977945050535006	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	4	M1_spatial_concat_kmeans	0.264041519866165	0.44982145050535005	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	4	M2_spatial_ward	-0.017468480133835063	0.39628345050534997	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication-m2
GSE267401	GSM8265213_CTC17P	4	M3_spatial_leiden	-0.025486480133835032	0.51272545050535	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	4	M4_spagcn	0.152736519866165	0.41607745050535005	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication-m4
GSE267401	GSM8265213_CTC17P	4	M5_stagate	0.09269451986616495	0.36885545050535007	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication-m5
GSE267401	GSM8265213_CTC17P	6	M0_expr_kmeans	0.19156428314512797	0.39459330778161006	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	6	M1_spatial_concat_kmeans	0.18927928314512799	0.3948223077816101	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	6	M2_spatial_ward	-0.045110716854872	0.5488513077816101	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication-m2
GSE267401	GSM8265213_CTC17P	6	M3_spatial_leiden	-0.06768571685487201	0.6102743077816101	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication
GSE267401	GSM8265213_CTC17P	6	M4_spagcn	0.09602528314512793	0.44949830778161004	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication-m4
GSE267401	GSM8265213_CTC17P	6	M5_stagate	0.05851228314512791	0.4513263077816101	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P	stage3b-full-replication-m5
GSE267401	GSM8265214_CTC17M	4	M0_expr_kmeans	0.28195843894389405	0.38282838458882806	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication
GSE267401	GSM8265214_CTC17M	4	M1_spatial_concat_kmeans	0.282133438943894	0.38293938458882804	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication
