dataset_id	sample_id	official_method_id	method_label	K	feature_type	feature_id	genes_used	reference_id	official_reference_delta	n_alternatives	minimum_delta	maximum_delta	official_delta_range	n_sign_state_changes_vs_reference	official_any_sign_state_change_vs_reference	n_direction_reversals_vs_reference	official_any_direction_reversal_vs_reference	n_zero_involved_changes_vs_reference	all_partitions_same_direction	reference_block_delta	median_block_delta	n_partitions_with_evaluable_blocks	n_block_direction_reversals_vs_reference	any_block_direction_reversal_vs_reference	current_method_id	current_reference_delta	current_delta_range	current_any_direction_reversal_vs_reference	current_any_sign_state_change_vs_reference	reference_delta_sign_agrees
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	seed_11	-0.2468151537013208	2	-0.2468151537013208	-0.1509110542257379	0.0959040994755828	0	False	0	False	0	1	-0.2025943046272931	-0.1841940639829935	3	0	False	BayesSpace	-0.2256378682115003	0.0983301962107301	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	seed_11	-0.3939521880251715	2	-0.3939521880251715	-0.3636209176307363	0.0303312703944351	0	False	0	False	0	1	-0.3198287338251915	-0.3198287338251915	3	0	False	BayesSpace	-0.4058767302700232	0.0669241792232071	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	seed_11	-0.2305020757997196	2	-0.2305020757997196	-0.1366503000468624	0.0938517757528571	0	False	0	False	0	1	-0.1459475539119137	-0.1327173715560627	3	0	False	BayesSpace	-0.2136586687096924	0.1165634869171738	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	seed_11	-0.0821901773193053	2	-0.0851366601052233	-0.0697385996127675	0.0153980604924558	0	False	0	False	0	1	-0.0367664782016108	-0.0367664782016108	3	0	False	BayesSpace	-0.0931469422556957	0.0222213864930293	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	SPP1	SPP1	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	COL1A1	COL1A1	seed_11	-0.0779018432469671	2	-0.1059107010452358	0.1359362623800706	0.2418469634253064	1	True	1	True	0	0	-0.0226833770004828	-0.0226833770004828	3	1	True	BayesSpace	-0.0584328490727106	0.239187420077771	True	True	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	EPCAM	EPCAM	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	FAP	FAP	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
