dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	n_spots	n_switching	switching_fraction	n_reference_boundary	n_alternative_boundary	n_union_boundary	n_switching_in_union_boundary	fraction_switching_in_union_boundary	fraction_stable_in_union_boundary	risk_ratio	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_upper	jaccard_switching_union_boundary	median_distance_switching_to_reference_boundary	median_distance_stable_to_reference_boundary
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_23	3673	6	0.0016335420637081405	1466	1462	1470	6	1.0	0.3992364330515408	2.504781420765027	19.559918060771594	1.1010122422433024	347.489682553006	0.004081632653061225	0.0	91.13906565136206
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_37	3673	4	0.0010890280424720937	1466	1460	1467	4	1.0	0.398746252384846	2.5078605604921393	13.569183464297916	0.7299777427018136	252.230621725939	0.0027266530334014998	0.0	91.13906565136206
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_23	4690	1216	0.259275053304904	3027	3047	3691	1124	0.9243421052631579	0.7389176741508348	1.2509405818793184	4.316779864839687	3.4448672406592493	5.409377807523061	0.2971186888712662	0.0	0.0
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_37	4690	1128	0.24051172707889126	3027	2971	3642	1063	0.9423758865248227	0.7240314430095453	1.3015676261347104	6.233358188922361	4.8015098446860085	8.092195073682358	0.2867547882384678	0.0	0.0
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	4690	2011	0.4287846481876333	3262	3403	3779	1722	0.8562904027846843	0.7678238148562897	1.115217301439071	1.8017370006711828	1.5453252411036933	2.10069449022205	0.42330383480825956	0.0	0.0
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	4690	1181	0.2518123667377399	3262	3338	3761	1132	0.9585097375105842	0.7492163009404389	1.279349817012035	7.732900691657416	5.751592208526732	10.39673032075981	0.2971128608923885	0.0	0.0
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_23	3742	325	0.086851950828434	2259	2143	2421	325	1.0	0.6134035703833772	1.6302480916030535	410.3489148580968	25.589113231630204	6580.385588238314	0.13424204874019	0.0	0.0
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_37	3742	270	0.07215392838054516	2259	2168	2390	270	1.0	0.6105990783410138	1.6377358490566039	345.061306295685	21.508853890084808	5535.734526392985	0.11297071129707113	0.0	0.0
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	3742	1044	0.27899518973810794	2723	2453	2975	1008	0.9655172413793104	0.729058561897702	1.3243342741440667	10.405693950177936	7.383400812684544	14.665121037279915	0.3347725008302889	0.0	0.0
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	3742	1074	0.2870122928915019	2723	2137	2913	980	0.9124767225325885	0.724512743628186	1.259435021064121	3.964183113009213	3.1558568897096233	4.979550183250978	0.32590621882274695	0.0	0.0
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_23	3673	826	0.22488429077048733	2262	2580	2804	806	0.9757869249394673	0.7017913593256059	1.390423110762094	17.124474474474475	10.909429718365176	26.88019755361441	0.28541076487252126	0.0	0.0
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	seed_11	seed_37	3673	550	0.14974135583991288	2262	2291	2612	549	0.9981818181818182	0.6605827729747038	1.5110624421627814	282.0843431895298	39.60772084735564	2008.9915544327741	0.21010332950631458	0.0	0.0
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_23	3673	1419	0.38633269806697523	2655	2364	3032	1388	0.97815362931642	0.7293700088731144	1.3410938445737293	16.613295659681345	11.499898340142982	24.00035065636548	0.45315050603983026	0.0	0.0
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	seed_11	seed_37	3673	606	0.16498774843452219	2655	2735	2924	604	0.9966996699669967	0.7564395174437561	1.3176197792193012	97.23879310344827	24.203596898911876	390.6602363155497	0.20642515379357484	0.0	0.0
