dataset_id	sample_id	method_id	method_label	K	n_alternatives	median_ari	min_ari	max_ari	n_below_0_60	n_union_switching	union_switching_fraction
GSE311294	GSM9322958_TR11_16184	M4_spagcn	SpaGCN-style	4	2	0.9259683590047344	0.9182043466124618	0.933732371397007	0	172.0	0.03634826711749789
GSE311294	GSM9322958_TR11_16184	M4_spagcn	SpaGCN-style	6	2	0.6855144204418033	0.6732241477771391	0.6978046931064676	0	1257.0	0.26563820794590026
GSE311294	GSM9322958_TR11_16184	M5_stagate	STAGATE-style	4	2	0.5060731202375448	0.44485490487927337	0.5672913355958161	2	1690.0	0.35714285714285715
GSE311294	GSM9322958_TR11_16184	M5_stagate	STAGATE-style	6	2	0.560760250657939	0.49716932387146723	0.6243511774444107	1	2237.0	0.4727387996618766
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	4	2	0.7695069878578139	0.6023154570081374	0.9366985187074904	0	887.0	0.24149196841818676
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	2	0.5190295205205366	0.498869144059121	0.5391898969819523	2	1545.0	0.4206370814048462
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	expression-only k-means	4	2	0.9969696539115317	0.9969696539115317	0.9969696539115317	0	4.0	0.0010890280424720937
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	expression-only k-means	6	2	0.9388857364728525	0.9254647999806749	0.9523066729650301	0	99.0	0.026953444051184317
GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	0.9960948578524983	0.9960948578524983	0.9960948578524983	0	5.0	0.001361285053090117
GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.9798711677161609	0.9737521390067228	0.985990196425599	0	47.0	0.0127960794990471
GSE311294	GSM9322959_TR11_18105	M2_spatial_ward	spatial Ward	4	2	0.41160130265186157	0.39909447363660666	0.4241081316671164	2	1468.0	0.3996732915872584
GSE311294	GSM9322959_TR11_18105	M2_spatial_ward	spatial Ward	6	2	0.4938029173735748	0.4446860102230561	0.5429198245240935	2	1655.0	0.4505853525728287
GSE311294	GSM9322959_TR11_18105	M3_spatial_leiden	spatial Leiden	4	2	0.5082256014498463	0.44245076336060424	0.5740004395390883	2	2006.0	0.546147563299755
GSE311294	GSM9322959_TR11_18105	M4_spagcn	SpaGCN-style	4	2	0.42870372004823876	0.4211998952567619	0.43620754483971563	2	1166.0	0.3174516743806153
GSE311294	GSM9322959_TR11_18105	M4_spagcn	SpaGCN-style	6	2	0.4719940080694922	0.45451316553625554	0.48947485060272894	2	1729.0	0.4707323713585625
GSE311294	GSM9322959_TR11_18105	M5_stagate	STAGATE-style	4	2	0.49810801944718197	0.4729992892181607	0.5232167496762032	2	1661.0	0.4522188946365369
GSE311294	GSM9322959_TR11_18105	M5_stagate	STAGATE-style	6	2	0.5599749700994141	0.46668170369059764	0.6532682365082306	1	1458.0	0.39695072148107813
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	2	0.9649202742599803	0.9585380652220641	0.9713024832978964	0	92.0	0.02109124254928932
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	2	0.9335607469132394	0.9268634544484406	0.9402580393780383	0	226.0	0.051811095827602016
GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	expression-only k-means	4	2	0.9990139725733314	0.9980279451466628	1.0	0	5.0	0.0011462631820265932
GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	expression-only k-means	6	2	0.9996121487436764	0.9992242974873528	1.0	0	2.0	0.0004585052728106373
GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	0.99845226119437	0.99752104291909	0.99938347946965	0	7.0	0.0016047684548372307
GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.9970640105302709	0.9965103261572578	0.9976176949032841	0	10.0	0.0022925263640531865
GSE311294	GSM9322960_TR11_21723	M2_spatial_ward	spatial Ward	4	2	0.8304186912230762	0.7875741919089441	0.8732631905372084	0	411.0	0.09422283356258597
GSE311294	GSM9322960_TR11_21723	M2_spatial_ward	spatial Ward	6	2	0.7063716919326226	0.6453805325748213	0.7673628512904238	0	1447.0	0.3317285648784961
GSE311294	GSM9322960_TR11_21723	M3_spatial_leiden	spatial Leiden	4	2	0.48771376864788324	0.4538398412217354	0.5215876960740311	2	1616.0	0.37047226043099496
GSE311294	GSM9322960_TR11_21723	M3_spatial_leiden	spatial Leiden	6	1	0.6737501234395817	0.6737501234395817	0.6737501234395817	0	701.0	0.16070609812012837
GSE311294	GSM9322960_TR11_21723	M4_spagcn	SpaGCN-style	4	2	0.8824877569758073	0.8611576572493812	0.9038178567022334	0	407.0	0.09330582301696469
GSE311294	GSM9322960_TR11_21723	M4_spagcn	SpaGCN-style	6	2	0.8141641316990609	0.786280792182341	0.8420474712157808	0	542.0	0.12425492893168272
GSE311294	GSM9322960_TR11_21723	M5_stagate	STAGATE-style	4	2	0.9015681101255963	0.891073857321275	0.9120623629299177	0	314.0	0.07198532783127005
GSE311294	GSM9322960_TR11_21723	M5_stagate	STAGATE-style	6	2	0.7275831046752768	0.6429753172533865	0.8121908920971671	0	1296.0	0.297111416781293
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	4	2	0.6382747592479721	0.4282190094019782	0.8483305090939658	1	1931.0	0.42309377738825593
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	2	0.832077956605167	0.805567964802918	0.858587948407416	0	704.0	0.15425065731814197
