dataset_id	sample_id	method_id	method_label	K	sensitivity_factor	reference_setting	alternative_setting	metric_name	metric_value	status	scope	source_file
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.9268634544484406	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.4282190094019782	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.8483305090939658	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.805567964802918	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322961_TR16_23542	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.858587948407416	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.3233539999999999	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.178323	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.0016530000000000156	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.11121200000000009	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.00038599999999999746	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.042917000000000094	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.08219600000000005	success	all available CRC sections	global_characterization.tsv
