dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	feature_type	feature_id	genes_used	n_boundary	n_interior	median_boundary	median_interior	median_delta_boundary_minus_interior	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	fdr_bh_within_partition
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	gene	EPCAM	EPCAM	2116	2574	2.8838398715562934	2.348922458841022	0.5349174127152714	0.4316230535554005	0.6708141815620913	1000	1.403453777013257e-106	35	0.0	-0.428632627324905	2.2513656409769442	1.5437991547145828e-105
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	gene	EPCAM	EPCAM	2129	2561	2.875308103607006	2.3593821033864315	0.5159260002205746	0.4143207529586809	0.6405258335550338	1000	2.892927236185347e-99	35	0.0015738928113955275	-0.4037276662983494	2.261367838531474	3.182219959803882e-98
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	gene	FAP	FAP	2131	2559	0.0	0.0	0.0	0.0	0.0	1000	0.05300652153966891	34	0.0	0.0	0.04142613577780411	0.0530065215396689
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	gene	FAP	FAP	2116	2574	0.0	0.0	0.0	0.0	0.0	1000	0.09133982966240776	35	0.0	0.0	0.39938845477721424	0.09133982966240776
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	gene	FAP	FAP	2129	2561	0.0	0.0	0.0	0.0	0.0	1000	0.18223774771239387	35	0.0	0.0	0.07101623276195038	0.18223774771239387
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	gene	PTPRC	PTPRC	2131	2559	0.0	0.0	0.0	0.0	0.0	1000	0.0006187377503701383	34	0.0	0.0	0.0	0.000680611525407152
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	gene	PTPRC	PTPRC	2116	2574	0.0	0.0	0.0	0.0	0.0	1000	0.015266193896045837	35	0.0	0.0	0.0	0.01679281328565042
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	gene	PTPRC	PTPRC	2129	2561	0.0	0.0	0.0	0.0	0.0	1000	0.003804386273463387	35	0.0	0.0	0.0	0.004184824900809726
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	2131	2559	1.0227462899517596	1.7726897269925765	-0.7499434370408169	-0.8582813651624301	-0.6270082816337379	1000	9.993324529731705e-42	34	0.03100749013015891	-1.0406047501177973	1.2669302682073946	3.664218994234958e-41
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	2116	2574	1.0272477781343332	1.736097218409283	-0.7088494402749499	-0.8373445172372426	-0.5973621739772557	1000	3.489957649750299e-40	35	0.07065993253911129	-1.1342491384192792	1.296720496408942	1.2796511382417763e-39
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	2129	2561	1.0319673102604099	1.740127453819549	-0.7081601435591391	-0.8363927549451053	-0.5886284593191339	1000	1.522129138483502e-36	35	0.07359073230128471	-1.09651307864082	1.3410838391665623	5.4329384118272996e-36
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	2131	2559	0.0	0.0	0.0	0.0	0.0	1000	8.968046777948224e-10	34	0.0	-0.05963842357523723	0.23350150252417512	1.2331064319678808e-09
