dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	stability_type	ari	below_0_60	n_spots	n_switching	switching_fraction
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.998485252776395	False	3415	2	0.0005856515373352855
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.8941730624224348	False	3415	166	0.048609077598828695
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.8973868056043279	False	3415	161	0.04714494875549048
GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.9993920741731873	False	3742	1	0.0002672367717797969
GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9993920741731873	False	3742	1	0.0002672367717797969
GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9963123507852549	False	3742	6	0.0016034206306787815
GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.9967624063976007	False	3742	6	0.0016034206306787815
GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.9946282140317934	False	4732	9	0.0019019442096365174
GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	1.0	False	4732	0	0.0
GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9977145766564307	False	4732	4	0.0008453085376162299
GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.8341301993448184	False	4732	403	0.08516483516483517
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.9969696539115317	False	3673	4	0.0010890280424720937
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9969696539115317	False	3673	4	0.0010890280424720937
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9254647999806749	False	3673	99	0.026953444051184317
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.9523066729650301	False	3673	62	0.016879934658317452
GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	1.0	False	4362	0	0.0
GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9980279451466628	False	4362	5	0.0011462631820265932
GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9992242974873528	False	4362	2	0.0004585052728106373
GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	1.0	False	4362	0	0.0
GSE311294	GSM9322961_TR16_23542	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	1.0	False	4564	0	0.0
GSE311294	GSM9322961_TR16_23542	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	1.0	False	4564	0	0.0
GSE311294	GSM9322961_TR16_23542	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9951609195071399	False	4564	10	0.0021910604732690623
GSE311294	GSM9322961_TR16_23542	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.9910279801543935	False	4564	17	0.0037248028045574057
GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	1.0	False	4690	0	0.0
GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	1.0	False	4690	0	0.0
GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9981465142275455	False	4690	6	0.001279317697228145
GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9993256773559773	False	4690	1	0.00021321961620469082
GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	0.9867975117577942	False	3884	16	0.004119464469618949
GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	0.9851006684817822	False	3884	18	0.004634397528321318
GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9798227735952072	False	3884	32	0.008238928939237899
GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9030712906475608	False	3884	157	0.04042224510813594
GSE267401	GSM8265213_CTC17P	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	0.9810750674152392	False	3721	20	0.005374899220639613
GSE267401	GSM8265213_CTC17P	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	0.9952453654122795	False	3721	5	0.0013437248051599033
GSE267401	GSM8265213_CTC17P	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9925038721191214	False	3721	10	0.0026874496103198066
GSE267401	GSM8265213_CTC17P	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9945733663948516	False	3721	7	0.0018812147272238647
GSE267401	GSM8265214_CTC17M	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	0.9998002687527872	False	4757	1	0.00021021652301870928
GSE267401	GSM8265214_CTC17M	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	0.9767719457269644	False	4757	36	0.0075677948286735335
GSE267401	GSM8265214_CTC17M	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9930635888276821	False	4757	14	0.00294303132226193
GSE267401	GSM8265214_CTC17M	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9865929077251138	False	4757	24	0.005045196552449022
GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	0.9784568644001919	False	3493	24	0.006870884626395649
GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	0.9804473171935157	False	3493	22	0.006298310907529345
GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9342915788721	False	3493	127	0.03635843114801031
GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.8530150183790621	False	3493	250	0.071571714858288
GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	1.0	False	2473	0	0.0
GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	0.9774797220647143	False	2473	25	0.010109179134654266
GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9949089795022076	False	2473	5	0.0020218358269308533
GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9926796531004063	False	2473	7	0.0028305701577031944
GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	0.9549036220646275	False	3563	66	0.018523715969688465
GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	0.9987530760792245	False	3563	2	0.000561324726354196
GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9798925389647986	False	3563	29	0.00813920853213584
GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9746916242742204	False	3563	37	0.010384507437552624
GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	1.0	False	3415	0	0.0
GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	1.0	False	3415	0	0.0
